Subject,Start Date,Start Time,End Date,End Time,Description
Maghrib (Ramadan 15),3/15/2025,6:38 PM,3/15/2025,6:43 PM,Fifteenth day of Ramadan - Maghrib prayer
Fajr (Ramadan 16),3/16/2025,4:37 AM,3/16/2025,4:42 AM,Sixteenth day of Ramadan - Fajr prayer
Maghrib (Ramadan 16),3/16/2025,6:40 PM,3/16/2025,6:45 PM,Sixteenth day of Ramadan - Maghrib prayer
Fajr (Ramadan 17),3/17/2025,4:34 AM,3/17/2025,4:39 AM,Seventeenth day of Ramadan - Fajr prayer
Maghrib (Ramadan 17),3/17/2025,6:42 PM,3/17/2025,6:47 PM,Seventeenth day of Ramadan - Maghrib prayer
Fajr (Ramadan 18),3/18/2025,4:31 AM,3/18/2025,4:36 AM,Eighteenth day of Ramadan - Fajr prayer
Maghrib (Ramadan 18),3/18/2025,6:44 PM,3/18/2025,6:49 PM,Eighteenth day of Ramadan - Maghrib prayer
Fajr (Ramadan 19),3/19/2025,4:28 AM,3/19/2025,4:33 AM,Nineteenth day of Ramadan - Fajr prayer
Maghrib (Ramadan 19),3/19/2025,6:46 PM,3/19/2025,6:51 PM,Nineteenth day of Ramadan - Maghrib prayer
Fajr (Ramadan 20),3/20/2025,4:25 AM,3/20/2025,4:30 AM,Twentieth day of Ramadan - Fajr prayer
Maghrib (Ramadan 20),3/20/2025,6:48 PM,3/20/2025,6:53 PM,Twentieth day of Ramadan - Maghrib prayer
Fajr (Ramadan 21),3/21/2025,4:21 AM,3/21/2025,4:26 AM,Twenty-first day of Ramadan - Fajr prayer
Maghrib (Ramadan 21),3/21/2025,6:50 PM,3/21/2025,6:55 PM,Twenty-first day of Ramadan - Maghrib prayer
Fajr (Ramadan 22),3/22/2025,4:18 AM,3/22/2025,4:23 AM,Twenty-second day of Ramadan - Fajr prayer
Maghrib (Ramadan 22),3/22/2025,6:52 PM,3/22/2025,6:57 PM,Twenty-second day of Ramadan - Maghrib prayer
Fajr (Ramadan 23),3/23/2025,4:15 AM,3/23/2025,4:20 AM,Twenty-third day of Ramadan - Fajr prayer
Maghrib (Ramadan 23),3/23/2025,6:55 PM,3/23/2025,6:59 PM,Twenty-third day of Ramadan - Maghrib prayer
Fajr (Ramadan 24),3/24/2025,4:12 AM,3/24/2025,4:17 AM,Twenty-fourth day of Ramadan - Fajr prayer
Maghrib (Ramadan 24),3/24/2025,6:57 PM,3/24/2025,7:02 PM,Twenty-fourth day of Ramadan - Maghrib prayer
Fajr (Ramadan 25),3/25/2025,4:09 AM,3/25/2025,4:14 AM,Twenty-fifth day of Ramadan - Fajr prayer
Maghrib (Ramadan 25),3/25/2025,6:59 PM,3/25/2025,7:04 PM,Twenty-fifth day of Ramadan - Maghrib prayer
Fajr (Ramadan 26),3/26/2025,4:09 AM,3/26/2025,4:14 AM,Twenty-sixth day of Ramadan - Fajr prayer
Maghrib (Ramadan 26),3/26/2025,6:59 PM,3/26/2025,7:04 PM,Twenty-sixth day of Ramadan - Maghrib prayer
Fajr (Ramadan 27),3/27/2025,4:06 AM,3/27/2025,4:11 AM,Twenty-seventh day of Ramadan - Fajr prayer
Maghrib (Ramadan 27),3/27/2025,7:01 PM,3/27/2025,7:06 PM,Twenty-seventh day of Ramadan - Maghrib prayer
Fajr (Ramadan 28),3/28/2025,4:02 AM,3/28/2025,4:04 AM,Twenty-eighth day of Ramadan - Fajr prayer
Maghrib (Ramadan 28),3/28/2025,7:03 PM,3/28/2025,7:10 PM,Twenty-eighth day of Ramadan - Maghrib prayer
Fajr (Ramadan 29),3/29/2025,3:59 AM,3/29/2025,4:01 AM,Twenty-ninth day of Ramadan - Fajr prayer
Maghrib (Ramadan 29),3/29/2025,7:05 PM,3/29/2025,7:12 PM,Twenty-ninth day of Ramadan - Maghrib prayer
Fajr (Ramadan 30),3/30/2025,3:56 AM,3/30/2025,3:57 AM,Thirtieth day of Ramadan - Fajr prayer
Maghrib (Ramadan 30),3/30/2025,7:07 PM,3/30/2025,7:14 PM,Thirtieth day of Ramadan - Maghrib prayer
Fajr (Ramadan 31),3/31/2025,3:52 AM,3/31/2025,3:57 AM,Thirtieth day of Ramadan - Fajr prayer
Maghrib (Ramadan 31),3/31/2025,7:09 PM,3/31/2025,7:14 PM,Thirtieth day of Ramadan - Maghrib prayer
